t [sec],GPS_lat (deg),GPS_long (deg),GPS_alt (m),Baro1_alt (m),Baro2_alt (m),Baro3_alt (m)
0.0,42.37359990016415,-71.10972106154276,3.2537346640601754,9.592622518539429e-08,9.592622518539429e-08,9.592622518539429e-08
0.1,,,,1.3131648302078247e-07,1.3131648302078247e-07,1.3131648302078247e-07
0.2,,,,1.955777406692505e-07,1.955777406692505e-07,1.955777406692505e-07
0.3,,,,2.8219074010849e-07,2.8219074010849e-07,2.8219074010849e-07
0.4,,,,3.9581209421157837e-07,3.9581209421157837e-07,3.9581209421157837e-07
0.5,,,,5.327165126800537e-07,5.327165126800537e-07,5.327165126800537e-07
0.6000000000000001,,,,6.966292858123779e-07,6.966292858123779e-07,6.966292858123779e-07
0.7000000000000001,,,,8.847564458847046e-07,8.847564458847046e-07,8.847564458847046e-07
0.8,,,,1.0970979928970337e-06,1.0970979928970337e-06,1.0970979928970337e-06
0.9,,,,1.3355165719985962e-06,1.3355165719985962e-06,1.3355165719985962e-06
1.0,42.37364203519843,-71.109702825313,-1.602299639955163,1.5981495380401611e-06,1.5981495380401611e-06,1.5981495380401611e-06
1.1,,,,1.885928213596344e-06,1.885928213596344e-06,1.885928213596344e-06
1.2000000000000002,,,,2.1988525986671448e-06,2.1988525986671448e-06,2.1988525986671448e-06
1.3,,,,2.537854015827179e-06,2.537854015827179e-06,2.537854015827179e-06
1.4,,,,2.9010698199272156e-06,2.9010698199272156e-06,2.9010698199272156e-06
1.5,,,,3.28943133354187e-06,3.28943133354187e-06,3.28943133354187e-06
1.6,,,,3.702007234096527e-06,3.702007234096527e-06,3.702007234096527e-06
1.7000000000000002,,,,4.139728844165802e-06,4.139728844165802e-06,4.139728844165802e-06
1.8,,,,4.602596163749695e-06,4.602596163749695e-06,4.602596163749695e-06
1.9,,,,5.091540515422821e-06,5.091540515422821e-06,5.091540515422821e-06
2.0,42.373688854520545,-71.10958125220182,-0.35529225040227175,5.603767931461334e-06,5.603767931461334e-06,5.603767931461334e-06
2.1,,,,6.144866347312927e-06,6.144866347312927e-06,6.144866347312927e-06
2.2,,,,6.706453859806061e-06,6.706453859806061e-06,6.706453859806061e-06
2.3000000000000003,,,,7.296912372112274e-06,7.296912372112274e-06,7.296912372112274e-06
2.4000000000000004,,,,7.909722626209259e-06,7.909722626209259e-06,7.909722626209259e-06
2.5,,,,8.548609912395477e-06,8.548609912395477e-06,8.548609912395477e-06
2.6,,,,9.211711585521698e-06,9.211711585521698e-06,9.211711585521698e-06
2.7,,,,9.901821613311768e-06,9.901821613311768e-06,9.901821613311768e-06
2.8000000000000003,,,,1.0615214705467224e-05,1.0615214705467224e-05,1.0615214705467224e-05
2.9000000000000004,,,,1.1353753507137299e-05,1.1353753507137299e-05,1.1353753507137299e-05
3.0,42.373672096795566,-71.10964164563356,3.5101133976131678,1.2118369340896606e-05,1.2118369340896606e-05,1.2118369340896606e-05
3.1,,,,1.2907199561595917e-05,1.2907199561595917e-05,1.2907199561595917e-05
3.2,,,,1.3721175491809845e-05,1.3721175491809845e-05,1.3721175491809845e-05
3.3000000000000003,,,,1.4559365808963776e-05,1.4559365808963776e-05,1.4559365808963776e-05
3.4000000000000004,,,,1.542363315820694e-05,1.542363315820694e-05,1.542363315820694e-05
3.5,,,,1.631304621696472e-05,1.631304621696472e-05,1.631304621696472e-05
3.6,,,,1.7226673662662506e-05,1.7226673662662506e-05,1.7226673662662506e-05
3.7,,,,1.816730946302414e-05,1.816730946302414e-05,1.816730946302414e-05
3.8,,,,1.9130297005176544e-05,1.9130297005176544e-05,1.9130297005176544e-05
3.9,,,,2.0121224224567413e-05,2.0121224224567413e-05,2.0121224224567413e-05
4.0,42.37363015103796,-71.10954082204837,0.8140119090676308,2.113543450832367e-05,2.113543450832367e-05,2.113543450832367e-05
4.1000000000000005,,,,2.2174790501594543e-05,2.2174790501594543e-05,2.2174790501594543e-05
4.2,,,,2.3237429559230804e-05,2.3237429559230804e-05,2.3237429559230804e-05
4.3,,,,2.4328939616680145e-05,2.4328939616680145e-05,2.4328939616680145e-05
4.4,,,,2.5442801415920258e-05,2.5442801415920258e-05,2.5442801415920258e-05
4.5,,,,2.658367156982422e-05,2.658367156982422e-05,2.658367156982422e-05
4.6000000000000005,,,,2.7747824788093567e-05,2.7747824788093567e-05,2.7747824788093567e-05
4.7,,,,2.893805503845215e-05,2.893805503845215e-05,2.893805503845215e-05
4.800000000000001,,,,3.01506370306015e-05,3.01506370306015e-05,3.01506370306015e-05
4.9,,,,3.139115869998932e-05,3.139115869998932e-05,3.139115869998932e-05
5.0,42.373540335163085,-71.1094397221581,8.768462899141014,3.2656826078891754e-05,3.2656826078891754e-05,3.2656826078891754e-05
5.1000000000000005,,,,3.394763916730881e-05,3.394763916730881e-05,3.394763916730881e-05
5.2,,,,3.526173532009125e-05,3.526173532009125e-05,3.526173532009125e-05
5.300000000000001,,,,3.660283982753754e-05,3.660283982753754e-05,3.660283982753754e-05
5.4,,,,3.79662960767746e-05,3.79662960767746e-05,3.79662960767746e-05
5.5,,,,3.935769200325012e-05,3.935769200325012e-05,3.935769200325012e-05
5.6000000000000005,,,,4.077143967151642e-05,4.077143967151642e-05,4.077143967151642e-05
5.7,,,,4.2212195694446564e-05,4.2212195694446564e-05,4.2212195694446564e-05
5.800000000000001,,,,4.367716610431671e-05,4.367716610431671e-05,4.367716610431671e-05
5.9,,,,4.516728222370148e-05,4.516728222370148e-05,4.516728222370148e-05
6.0,42.373664776173044,-71.1094596397002,3.703322120010853,4.668254405260086e-05,4.668254405260086e-05,4.668254405260086e-05
6.1000000000000005,,,,4.822295159101486e-05,4.822295159101486e-05,4.822295159101486e-05
6.2,,,,4.97894361615181e-05,4.97894361615181e-05,4.97894361615181e-05
6.300000000000001,,,,5.1380135118961334e-05,5.1380135118961334e-05,5.1380135118961334e-05
6.4,,,,5.299597978591919e-05,5.299597978591919e-05,5.299597978591919e-05
6.5,,,,5.4634176194667816e-05,5.4634176194667816e-05,5.4634176194667816e-05
6.6000000000000005,,,,5.630124360322952e-05,5.630124360322952e-05,5.630124360322952e-05
6.7,,,,5.799252539873123e-05,5.799252539873123e-05,5.799252539873123e-05
6.800000000000001,,,,5.970709025859833e-05,5.970709025859833e-05,5.970709025859833e-05
6.9,,,,6.144959479570389e-05,6.144959479570389e-05,6.144959479570389e-05
7.0,42.37361615440692,-71.10942725219711,10.223598383367062,6.32135197520256e-05,6.32135197520256e-05,6.32135197520256e-05
7.1000000000000005,,,,6.500538438558578e-05,6.500538438558578e-05,6.500538438558578e-05
7.2,,,,6.682146340608597e-05,6.682146340608597e-05,6.682146340608597e-05
7.300000000000001,,,,6.866268813610077e-05,6.866268813610077e-05,6.866268813610077e-05
7.4,,,,7.052812725305557e-05,7.052812725305557e-05,7.052812725305557e-05
7.5,,,,7.2418712079525e-05,7.2418712079525e-05,7.2418712079525e-05
7.6,,,,7.433723658323288e-05,7.433723658323288e-05,7.433723658323288e-05
7.7,,,,7.627718150615692e-05,7.627718150615692e-05,7.627718150615692e-05
7.800000000000001,,,,7.824413478374481e-05,7.824413478374481e-05,7.824413478374481e-05
7.9,,,,8.023437112569809e-05,8.023437112569809e-05,8.023437112569809e-05
8.0,42.37362548735593,-71.10929127563332,1.0452539278194308,8.22506844997406e-05,8.22506844997406e-05,8.22506844997406e-05
8.1,,,,8.429121226072311e-05,8.429121226072311e-05,8.429121226072311e-05
8.200000000000001,,,,8.635874837636948e-05,8.635874837636948e-05,8.635874837636948e-05
8.3,,,,8.845049887895584e-05,8.845049887895584e-05,8.845049887895584e-05
8.4,,,,9.056646376848221e-05,9.056646376848221e-05,9.056646376848221e-05
8.5,,,,9.270850569009781e-05,9.270850569009781e-05,9.270850569009781e-05
8.6,,,,9.48738306760788e-05,9.48738306760788e-05,9.48738306760788e-05
8.700000000000001,,,,9.706616401672363e-05,9.706616401672363e-05,9.706616401672363e-05
8.8,,,,9.928271174430847e-05,9.928271174430847e-05,9.928271174430847e-05
8.9,,,,0.00010152440518140793,0.00010152440518140793,0.00010152440518140793
