# t [sec],r_ecef_X,r_ecef_Y,r_ecef_Z,v_ecef_X,v_ecef_Y,v_ecef_Z,q_e2b_scalar,q_e2b_i,q_e2b_j,q_e2b_k,accel_X [m/s^2],accel_Y [m/s^2],accel_Z [m/s^2],gyro_X [rad/s],gyro_Y [rad/s],gyro_Z [rad/s],gps_lat [deg],gps_long [deg],gps_alt [m]
0,1525319.726,-4462450.656,4279868.535,0,0,0,0.901797015,-0.39979036,-0.066508461,-0.150021455,0,0,0,0,0,0,0,0,0
0.095290376,1525319.47,-4462450.601,4279868.548,-0.069483898,0.004492581,0.008675939,0.901911696,-0.399773269,-0.066538197,-0.149362965,-0.724583333,0.29875,9.6885633,-0.000381791,-0.007035859,-0.018271416,42.416361,-71.128953,12.3
0.180586428,1525319.463,-4462450.6,4279868.549,-0.120907776,0.00990296,0.012635499,0.902262715,-0.39935146,-0.066439755,-0.148412144,-0.504583333,0.22875,9.6585633,-0.010199268,-0.00921752,-0.019362246,nan,nan,nan
0.266789195,1525319.453,-4462450.599,4279868.55,-0.102947695,0.001359923,0.024981026,0.902525785,-0.399096907,-0.066559921,-0.147440303,0.175416667,0.02875,10.0185633,-0.005835945,-0.005945028,-0.022634739,nan,nan,nan
0.34864288,1525319.444,-4462450.599,4279868.552,-0.111349136,0.008451861,0.044431013,0.902910165,-0.39859998,-0.06646638,-0.146470174,-0.054583333,0.27875,9.8785633,-0.01347176,-0.010308351,-0.022634739,nan,nan,nan
0.436535749,1525319.435,-4462450.598,4279868.556,-0.120470981,0.011444841,0.067019849,0.902818669,-0.399091236,-0.06688736,-0.145501606,-0.064583333,0.24875,9.9285633,0.013799009,-0.001581705,-0.022634739,nan,nan,nan
0.519163528,1525319.425,-4462450.597,4279868.561,-0.119220542,0.008204137,0.099417964,0.90282635,-0.399234814,-0.067445583,-0.14480069,0.025416667,0.28875,10.0985633,0.006163194,0.00496328,-0.020453077,nan,nan,nan
0.601805516,1525319.415,-4462450.597,4279868.569,-0.128059662,0.010376857,0.134908205,0.902818562,-0.399505215,-0.067732059,-0.143967346,-0.074583333,0.38875,10.0485633,0.008344855,-0.002672535,-0.020453077,nan,nan,nan
0.689630221,1525319.403,-4462450.596,4279868.581,-0.137068602,0.002839626,0.179233461,0.902625812,-0.400025523,-0.068522212,-0.143355959,-0.104583333,0.37875,10.1785633,0.015980671,0.009326603,-0.018271416,nan,nan,nan
0.772478784,1525319.392,-4462450.596,4279868.596,-0.178978909,0.001120944,0.208994997,0.902609436,-0.400234987,-0.068930167,-0.142677235,-0.474583333,0.40875,9.9385633,0.007254025,0.001690788,-0.018271416,nan,nan,nan
1.161286993,1525318.465,-4462450.774,4279868.715,-2.152257272,-0.352753668,0.391497369,0.908247811,-0.403817331,0.002781303,-0.109588964,-0.494583333,0.38875,9.7685633,0.004308782,-0.000381791,-0.020234911,42.416363,-71.128965,12.3
1.244107349,1525318.275,-4462450.805,4279868.749,-2.350814628,-0.371511522,0.419068358,0.908183423,-0.403997085,0.002467058,-0.109467525,-0.654583333,0.46875,9.8585633,0.005072363,0.00496328,-0.005181446,nan,nan,nan
