# t [sec],r_ecef_X,r_ecef_Y,r_ecef_Z,v_ecef_X,v_ecef_Y,v_ecef_Z,q_e2b_scalar,q_e2b_i,q_e2b_j,q_e2b_k,accel_X [m/s^2],accel_Y [m/s^2],accel_Z [m/s^2],gyro_X [rad/s],gyro_Y [rad/s],gyro_Z [rad/s],gps_lat [deg],gps_long [deg],gps_alt [m]
179.87863,1523479.04,-4461289.012,4281705.137,2.382033758,13.38401091,16.86037027,-0.779425001,0.366571237,0.001939221,0.508053576,2.865416667,1.02875,9.6185633,0.020343994,0.034415711,-0.055359662,nan,nan,nan
179.954448,1523479.955,-4461283.869,4281711.615,3.20764117,14.80187503,17.97914359,-0.783646181,0.367400578,0.007490329,0.500858637,3.185416667,1.23875,10.4485633,0.010090185,0.006599526,-0.050887256,nan,nan,nan
180.031826,1523480.177,-4461282.844,4281712.86,3.362263648,15.01064098,18.15435168,-0.784991892,0.367331029,0.008602428,0.498780156,2.505416667,0.89875,10.5885633,0.00070904,0.003872449,-0.078267109,nan,nan,nan
180.105099,1523476.354,-4461282.53,4281712.284,-2.320051071,8.724568434,15.85896067,-0.176975306,0.478476374,-0.450522273,0.732645742,1.595416667,-0.08125,9.8085633,-0.003654283,-0.016853336,-0.081539601,42.438941,-71.145565,-0.2
180.176818,1523476.182,-4461281.881,4281713.464,-2.232149181,8.605276135,15.60357154,-0.179064484,0.479662318,-0.44906266,0.732258629,2.505416667,0.49875,9.3485633,0.002890702,0.003872449,-0.076085447,nan,nan,nan
180.248137,1523476.013,-4461281.229,4281714.646,-2.171467557,8.458743276,15.33225984,-0.181644537,0.480501456,-0.448086337,0.73167086,2.605416667,1.02875,9.3985633,-0.016744253,0.011508265,-0.074994616,nan,nan,nan
180.320705,1523475.859,-4461280.632,4281715.728,-2.128892388,8.220788949,15.12124051,-0.183172666,0.482454963,-0.446407685,0.731030206,3.435416667,1.64875,10.5685633,0.015980671,-0.021216659,-0.082630432,nan,nan,nan
180.703955,1523475.692,-4461279.986,4281716.917,-2.056614394,8.139324819,14.82398994,-0.185383647,0.483585398,-0.444474691,0.730903766,2.225416667,0.58875,8.6885633,0.012708179,0.011508265,-0.078267109,nan,nan,nan
181.080399,1523475.544,-4461279.399,4281717.985,-2.052056322,7.867443371,14.58035716,-0.188068855,0.484116073,-0.443420172,0.730506869,3.395416667,2.48875,10.5485633,-0.016744253,0.022416573,-0.077176278,nan,nan,nan
181.152889,1523475.373,-4461278.744,4281719.2,-2.026872253,7.704961226,14.3132937,-0.190514815,0.485519667,-0.441914048,0.729853912,3.125416667,1.26875,9.1985633,-0.002563452,0.000599957,-0.078267109,nan,nan,nan
181.224755,1523475.228,-4461278.195,4281720.22,-2.017425667,7.509517936,14.04523508,-0.192084631,0.487560203,-0.440613942,0.728867544,2.825416667,2.08875,9.6885633,0.003981532,-0.028852474,-0.08044877,nan,nan,nan
181.301838,1523475.075,-4461277.626,4281721.284,-1.957354225,7.216301032,13.91787146,-0.19411928,0.490825468,-0.440465031,0.726222158,4.535416667,1.29875,11.2585633,-0.037470037,-0.072485705,-0.092447909,nan,nan,nan
181.373553,1523474.937,-4461277.116,4281722.268,-1.872171414,7.119232642,13.72910584,-0.195451357,0.493243067,-0.438399882,0.725476112,3.155416667,0.10875,9.2585633,0.02797981,-0.032124967,-0.090266247,nan,nan,nan
181.451416,1523473.688,-4461271.329,4281725.183,-2.7227481,7.344270496,8.903600247,0.239856077,0.228693662,-0.641509095,0.69183405,2.940416667,1.09375,9.7765633,-0.034197545,0.010417434,-0.077176278,42.4391,-71.145544,0.3
182.136644,1523473.477,-4461270.759,4281725.875,-2.654443769,7.107026286,8.418591623,0.237282854,0.230148897,-0.641849422,0.691923155,3.685416667,0.36875,9.7385633,-0.028743391,0.01914408,-0.068449632,nan,nan,nan
182.212828,1523472.484,-4461268.101,4281729.023,-2.363042125,6.016533746,5.949653625,0.227518228,0.241075243,-0.638966495,0.69414696,3.655416667,0.70875,9.5485633,-0.007581274,-0.007908523,-0.080012438,nan,nan,nan
182.284205,1523472.297,-4461267.624,4281729.495,-2.246109679,5.736772097,5.472566983,0.225075058,0.241904834,-0.639097305,0.694534308,3.525416667,0.25875,10.4885633,-0.015653422,0.027870726,-0.057541324,nan,nan,nan
182.358073,1523472.125,-4461267.186,4281729.913,-2.120216476,5.459664203,5.040978453,0.222835413,0.243185939,-0.639442886,0.694491017,3.445416667,-0.09125,10.7085633,-0.028743391,0.015871588,-0.059722985,nan,nan,nan
182.429368,1523471.972,-4461266.793,4281730.276,-1.990819972,5.227484339,4.619665477,0.220400517,0.243631967,-0.639101367,0.695425424,3.055416667,0.06875,10.4785633,0.003981532,0.038779034,-0.062995478,nan,nan,nan
182.50555,1523471.815,-4461266.379,4281730.641,-1.790368104,4.965588598,4.231795089,0.2173852,0.243815811,-0.639589215,0.695861453,2.555416667,-0.86125,11.0685633,-0.021107576,0.050778173,-0.055359662,nan,nan,nan
182.577951,1523471.687,-4461266.025,4281730.943,-1.644787715,4.726033709,3.793376165,0.215402514,0.24485687,-0.639262831,0.696412165,2.855416667,0.38875,10.7385633,-0.003654283,0.016962419,-0.062995478,nan,nan,nan
182.68937,1523472.358,-4461260.111,4281737.273,0.164077022,6.30669161,8.642497785,0.061460073,0.39256769,-0.447054128,0.801408682,3.329416667,0.43375,10.2975633,0.024707317,-0.016853336,-0.070631293,42.43925,-71.145515,0.4
182.764349,1523472.371,-4461259.624,4281737.941,0.321652678,6.254374099,8.487494903,0.059017619,0.392574566,-0.445671102,0.802358648,3.035416667,-0.17125,9.3685633,0.01488984,0.035506542,-0.06626797,nan,nan,nan
182.836124,1523472.396,-4461259.139,4281738.6,0.48608079,6.196089581,8.172983996,0.056417422,0.392416991,-0.445198074,0.802885206,1.805416667,1.43875,8.8785633,-0.010199268,0.037688204,-0.057541324,nan,nan,nan
182.909392,1523472.435,-4461258.642,4281739.255,0.768217521,6.080356191,7.939892198,0.054294071,0.393735871,-0.444471243,0.802788598,1.785416667,0.61875,10.6385633,-0.009108437,-0.004854197,-0.064086308,nan,nan,nan
182.980791,1523472.491,-4461258.199,4281739.833,0.901143967,6.032390014,7.838691826,0.052053107,0.394751329,-0.445071857,0.802105295,3.485416667,-0.55125,9.4085633,-0.047287514,-0.001581705,-0.054268831,nan,nan,nan
183.057697,1523472.556,-4461257.764,4281740.399,1.110242028,5.932504609,7.680064991,0.049985752,0.395543683,-0.444609226,0.802103021,2.595416667,0.18875,10.3885633,-0.01347176,0.007144942,-0.060813816,nan,nan,nan
183.129368,1523472.64,-4461257.313,4281740.983,1.255829824,5.84073334,7.475616487,0.04787017,0.396681957,-0.444102753,0.801950508,2.895416667,0.71875,9.4585633,-0.014562591,-0.001581705,-0.062995478,nan,nan,nan
183.212934,1523472.731,-4461256.888,4281741.527,1.426648636,5.773610757,7.282088833,0.045767872,0.397541086,-0.443533037,0.801963112,2.495416667,0.40875,9.5685633,-0.011290099,0.006054111,-0.062995478,nan,nan,nan
183.281746,1523472.842,-4461256.441,4281742.091,1.720836602,5.540654798,7.11719747,0.043292877,0.398437178,-0.44316562,0.80185895,2.705416667,0.86875,12.1185633,-0.020016745,0.008235772,-0.065177139,nan,nan,nan
183.358665,1523472.963,-4461256.051,4281742.591,1.957907081,5.39275887,6.926661998,0.040775703,0.398867712,-0.442865843,0.801942477,2.255416667,0.86875,11.0485633,-0.021107576,0.022416573,-0.06626797,nan,nan,nan
183.430339,1523473.107,-4461255.653,4281743.102,2.225263146,5.307320022,6.801411395,0.038427124,0.399613104,-0.442386936,0.801951696,2.275416667,-0.53125,10.8785633,-0.015653422,0.011508265,-0.065177139,nan,nan,nan
183.509042,1523473.265,-4461255.276,4281743.585,2.407342407,5.231814243,6.660755336,0.036232611,0.40006461,-0.441716402,0.802198308,2.775416667,-0.07125,10.0185633,-0.006926775,0.01914408,-0.062995478,nan,nan,nan
183.581149,1523473.435,-4461254.907,4281744.055,2.562612564,5.170130495,6.501075141,0.034064407,0.40105584,-0.441396176,0.801974592,2.755416667,0.13875,9.5685633,-0.021107576,0.001690788,-0.065177139,nan,nan,nan
183.688448,1523473.615,-4461254.545,4281744.511,2.719059023,5.083484739,6.317143316,0.031917112,0.402018235,-0.440754939,0.801933738,2.665416667,0.60875,9.7285633,-0.011290099,0.003872449,-0.068449632,nan,nan,nan
183.7598,1523472.23,-4461249.233,4281748.714,2.938496683,10.73945243,13.97266947,0.526372994,0.034988878,-0.089222557,0.844835242,2.535416667,0.68875,9.6385633,-0.020016745,0.000599957,-0.06626797,42.43939,-71.145475,0.2
183.832088,1523472.457,-4461248.403,4281749.795,2.838734415,10.99063687,14.1793951,0.524126624,0.035359445,-0.089310384,0.846206031,2.435416667,0.72875,9.6885633,-0.005835945,-0.000490874,-0.068449632,nan,nan,nan
183.910587,1523472.694,-4461247.484,4281750.979,2.696525425,11.22174441,14.3830176,0.521901414,0.035659366,-0.090686653,0.847421533,3.055416667,0.62875,9.4485633,-0.030925053,0.016962419,-0.059722985,nan,nan,nan
183.982276,1523472.894,-4461246.655,4281752.043,2.565689312,11.51277424,14.56627927,0.519615229,0.03554273,-0.089886898,0.848915234,2.025416667,0.03875,9.3485633,0.021434825,-0.001581705,-0.073903786,nan,nan,nan
184.061106,1523473.078,-4461245.826,4281753.091,2.442469709,11.75570941,14.7502755,0.517465029,0.035873039,-0.090161334,0.850184688,2.495416667,0.34875,9.4985633,-0.010199268,0.002781618,-0.069540462,nan,nan,nan
184.133164,1523473.256,-4461244.97,4281754.165,2.306566308,11.97884625,14.9904351,0.515278346,0.037245695,-0.089993653,0.851470568,2.815416667,0.21875,10.2385633,-0.014562591,-0.027761643,-0.072812955,nan,nan,nan
184.216494,1523473.423,-4461244.107,4281755.245,2.212340388,12.21436137,15.19651281,0.513251378,0.038685421,-0.090687073,0.852556342,2.405416667,0.69875,9.8685633,-0.036379207,-0.017944166,-0.06626797,nan,nan,nan
184.389831,1523473.591,-4461243.177,4281756.402,2.110516626,12.45865875,15.40570878,0.511037095,0.040007711,-0.090336007,0.853861744,2.485416667,0.70875,9.7585633,-0.009108437,-0.027761643,-0.070631293,nan,nan,nan
184.462432,1523474.38,-4461238.516,4281762.165,1.518113414,13.68131706,16.42261374,0.496598785,0.04757613,-0.090842541,0.861901266,2.567416667,0.48075,9.6785633,-0.022198406,-0.024489151,-0.091357078,nan,nan,nan
